Sanctuary,Site Name,EventLog ID,Latitude,Longitude,Depth,Surface/Depth,Surface Category,"Temp (degC)
Seabird FastCat 49Plus","Salinity (psu)
Seabird FastCat 49Plus","Oxygen (μmoles/L)
Aanderaa Oxygen Optode 3830",Corrected O2data (x0.813),Sample ID,Clear Fiber,Film,Blue Fiber,Fragments,Beads,Pink/red Fiber,Total
Monterey Bay NMS,Pioneer Canyon South,NA122-005,39.33255463,-121.0914637,1106.090505,Depth,1000-2000,5.6431,36.4596213,15.07843112,12.2587645,NA122-005-50A,13,3,12,15,17,0,60
Monterey Bay NMS,Pioneer Canyon South,NA122-011,39.33410971,-121.0701256,1145.95927,Depth,1000-2000,5.517305805,36.47670273,18.27211129,14.85522648,NA122-011-50A,0,13,2,40,4,0,59
Monterey Bay NMS,Pioneer Canyon South,NA122-012,38.3339915,-122.065069,1044.773529,Depth,1000-2000,4.855205673,35.44318769,12.06072531,9.805369678,NA122-012-50B,2,6,4,24,0,0,36
Monterey Bay NMS,Pioneer Canyon South,NA122-013,39.33348093,-121.064847,462.533242,Depth,101-499,8.380392264,36.18944468,17.40345457,14.14900857,NA122-013-1L,143,18,40,54,3,5,263
Monterey Bay NMS,Pioneer Canyon South,NA122-014,38.3336125,-122.0651515,250.8531247,Depth,101-499,9.201274193,35.1284872,49.0941441,39.91353915,NA122-014-3.5L,21,3,6,25,0,0,55
Monterey Bay NMS,Pioneer Canyon South,NA122-017,37.20880914,-123.0712725,986.4150499,Depth,500-999,3.54607759,34.46110587,12.16727631,9.891995641,NA122-017-50A,26,6,4,3,1,2,42
Monterey Bay NMS,Pioneer Canyon South,NA122-028,37.21683452,-123.0415042,100.6744944,Surface,1-100,9.674609574,33.86319046,109.4966139,89.02074713,NA122-028-50B,4,0,3,2,0,0,9
Monterey Bay NMS,Octocone/Whalle-Fall,NA122-040,35.5821075,-122.6286442,3240.154026,Depth,3001-4000,1.601649636,34.6604476,108.6105724,88.30039536,NA122-040-50B,5,0,3,2,0,0,10
Monterey Bay NMS,Octocone/Whalle-Fall,NA122-041,35.5841871,-122.6271904,1995.885313,Depth,"1,000-2,000",2.0859,34.60272558,69.35182862,56.38303667,NA122-041-50B,5,1,4,0,3,0,13
Monterey Bay NMS,Octocone/Whalle-Fall,NA122-042,35.58571885,-122.6255605,996.9943044,Depth,500-999,3.890074229,34.45066393,11.7308437,9.537175925,NA122-042-50B,2,6,5,6,1,1,21
Monterey Bay NMS,Octocone/Whalle-Fall,NA122-043,35.58670857,-122.6253375,496.3962634,Depth,1-100,5.9647,34.24654622,5.502482504,4.473518276,NA122-043-50A,1,3,1,2,1,0,8
Monterey Bay NMS,Octocone/Whalle-Fall,NA122-044,35.58746011,-122.6245546,97.41821301,Surface,1-100,9.580286545,33.43370826,170.5555654,138.6616746,NA122-044-50A,0,3,1,0,0,0,4
Monterey Bay NMS,Santa Lucia Palms,NA123-014,34.8835215,-121.7466085,1312.285469,Depth,"1,000-2,000",3.016184849,34.5270223,30.69718475,24.9568112,NA123-014-50A,7,5,7,19,4,1,43
Monterey Bay NMS,Santa Lucia Palms,NA123-019,34.87726076,-121.7367808,695.4557591,Depth,500-999,5.09325,34.36574817,3.007032164,2.444717149,NA123-019-50A,7,5,3,1,1,0,17
Monterey Bay NMS,Santa Lucia Palms,NA123-019,34.87726076,-121.7367808,695.4557591,Depth,500-999,5.09325,34.36574817,3.007032164,2.444717149,NA123-019-50B,0,2,0,12,0,0,14
Monterey Bay NMS,Santa Lucia Palms,NA123-019,34.87726076,-121.7367808,695.4557591,Depth,500-999,5.09325,34.36574817,3.007032164,2.444717149,NA123-019-5L,134,18,56,400,2,4,614
Monterey Bay NMS,Santa Lucia Palms,NA123-021,34.87780926,-121.738058,49.90585521,Surface,1-100,12.43677785,33.15215626,238.1886756,193.6473933,NA123-021-50A,8,4,2,5,1,0,20
Monterey Bay NMS,Santa Lucia Palms,NA123-021,34.87780926,-121.738058,49.90585521,Surface,1-100,12.43677785,33.15215626,238.1886756,193.6473933,NA123-021-50B,1,1,1,3,1,0,7
Monterey Bay NMS,Santa Lucia Palms,NA123-021,34.87780926,-121.738058,49.90585521,Surface,1-100,12.43677785,33.15215626,238.1886756,193.6473933,NA123-021-5L,52,23,33,125,0,0,233
Monterey Bay NMS,Southwest Davidson Seamount,NA123-023,35.533487,-122.839857,3081.007728,Depth,"3,001-4,000",1.613135753,34.65676807,109.1062698,88.70339732,NA123-023-50A,7,0,3,23,0,0,33
Monterey Bay NMS,Southwest Davidson Seamount,NA123-023,35.533487,-122.839857,3081.007728,Depth,"3,001-4,000",1.613135753,34.65676807,109.1062698,88.70339732,NA123-023-50B,5,2,2,16,0,0,25
